764,кукурузная мука,г
765,кукурузное масло,г
766,кукурузные лепешки,шт.
767,кукурузные палочки,г
768,кукурузные хлопья,г
769,кукурузные хлопья глазированные,г
770,кукурузные чипсы,г
771,кукурузный (золотой) сироп,мл
772,кукурузный крахмал,г
773,кумин,г
774,кумкваты,г
775,кунжут,г
776,кунжутная мука,г
777,кунжутная паста,г
778,кунжутное масло,г
779,кунжутные семечки,г
780,кунжут черный,г
781,купаты,шт.
782,курага,г
783,курдючное сало,г
784,курдючный жир,г
785,куриная ветчина,г
786,куриная кожа,г
787,куриная печень,г
788,куриное карпаччо,г
789,куриное филе,г
790,куриные бедра,г
791,куриные голени,г
792,куриные голени копченые,шт.
793,куриные грудки,г
794,куриные грудки вареные,г
795,куриные грудки копченые,г
796,куриные желудочки,г
797,куриные кости,г
798,куриные крылья,г
799,куриные окорочка,г
800,куриные окорочка копченые,г
801,куриные потрошки,г
802,куриные сердечки,г
803,куриный бульон,мл
804,куриный паштет,г
805,куриный суповой набор,г
806,куриный фарш,г
807,курица,г
808,курица вареная,г
809,курица для жарки,г
810,курица копченая,г
811,курица тушка,г
812,куркума,г
813,куропатки,г
814,кускус,г
815,кускус жемчужный,стакан
816,кэроб,г
817,лаванда,г
818,лаванда сушеная,щепотка
819,лавандовый краситель,ч. л.
820,лаваш,г
821,лаваш армянский,г
822,лаваш персидский круглый,г
823,лаваш тонкий,г
824,лавровые листья свежие,шт.
825,лавровый лист,г
826,лайм,г
827,лайм листья,шт.
828,лаймовая цедра,г
829,лаймовый сок,мл
830,лангустины,шт.
831,лапша,г
832,лапша для лагмана,г
833,лапша ширатаки,г
834,лапша яичная в гнездах,г
835,латук,г
836,легкие,г
837,лед,г
838,леди-фиш тушка,г
839,лемонграсс (лимонное сорго),г
840,лен семена,г
841,лепешки,г
842,лепешки арабские,шт.
843,лесные орехи,г
844,лечо,г
845,ливер,г
846,ликер,мл
847,ликер Alchermes,мл
848,ликер Amaretto,мл
849,ликер Baileys,мл
850,ликер Cointreau,мл
851,ликер кремовый,мл
852,ликер сливочный,мл
853,лимонад,мл
854,лимонная кислота,мл
855,лимонная цедра,г
856,лимонник стебель,г
857,лимонник ягоды,г
858,лимонные корочки засахаренные,г
859,лимонные цукаты,г
860,лимонный сок,мл
861,лимонный уксус,мл
862,лимонный экстракт,мл
863,лимончелло,г
864,лимоны,г
865,лингвине,шт.
866,лисички,г
867,лисички сушеные,г
868,личи,шт.
869,личи компот,мл
870,лобстер,г
871,лонган,г
872,лонгконг,шт.
873,лососевые молоки,г
874,лососевый фарш,г
875,лосось,г
876,лосось горячего копчения,г
877,лосось копченый,г
878,лосось свежесоленый,г
879,лосось свежий,г
880,лосось свежий филе,г
881,лосось слабосоленый,г
882,лосось стейки,г
883,лосось филе,г
884,лосось филе на коже,г
885,лосось холодного копчения,г
886,лосятина,г
887,лук белый,г
888,лук зеленый,г
889,лук красный,г
890,лук маринованный,г
891,луковая шелуха,г
892,луковый порошок,г
893,лук-порей,горсть
894,лук-резанец,г
895,лук репчатый,г
896,лук репчатый мелкий,г
897,лук салатный,г
898,лук сушеный,г
899,лук-шалот,г
900,лук-шалот красный,г
901,льняная мука,г
902,льняное масло,мл
903,льняное семя,г
904,льняное семя молотое,г
905,любисток,г
906,маасдам,г
907,мадера,г
908,майонез,г
909,майонез домашний,г
910,майонез легкий,г
911,майонезный соус «Слобода» Постный,г
912,майонез оливковый,г
913,майонез «Слобода» Легкий,г
914,майонез «Слобода» На перепелиных яйцах,г
915,майонез «Слобода» Оливковый,г
916,майонез «Слобода» Провансаль,г
917,майонез «Слобода» С лимонным соком,г
918,майонез «Слобода» Сметанный,г
919,майоран,г
920,майоран свежий,г
921,майоран сушеный,г
922,мак,г
923,макаронные изделия,г
924,макаронные изделия мелкие,г
925,макароны,г
926,макароны-бабочки (farfalle),г
927,макароны-бабочки (farfalle) мини,г
928,макароны баветте,г
929,макароны-бантики,г
930,макароны букатини,г
931,макароны джильи,г
932,макароны диталони,г
933,макароны-звездочки,г
934,макароны орзо,г
935,макароны-ракушки (conchiglie),г
936,макароны-ракушки (conchiglie rigate),г
937,макароны-ракушки крупные,г
938,макароны рисони,г
939,макароны-рожки (pipe rigate),г
940,макароны-спиральки (fusilli),г
941,макароны-ушки (orecchiette),г
942,маккерончини,г
943,мак молотый,г
944,маковая масса,г
945,малина,г
946,малина замороженная,г
947,"малина, протертая с сахаром",г
948,малина сушеная,г
949,малиновое варенье,г
950,малиновое желе,г
951,малиновое пюре,г
952,малиновый джем,г
953,малиновый крем,г
954,малиновый сироп,мл
955,малиновый соус,г
956,малиновый уксус,мл
957,малиновый чай,г
958,манго,г
959,манговый сироп,мл
960,манго консервированное,г
961,мангольд,г
962,мангустин,г
963,мандариновое пюре,г
964,мандариновые цукаты,г
965,мандариновый сок,мл
966,мандарины,г
967,мандарины в собственном соку,г
968,манная крупа,г
969,маракуйя,г
970,маргарин,г
971,маргарин сливочный,г
972,мармелад,г
973,мармелад бутербродный,г
974,марсала,г
975,мартини,мл
976,мартини красный,мл
977,марципан,г
978,марципан зеленый,г
979,марципан розовый,г
980,маршмеллоу,г
981,маршмеллоу крем,г
982,маршмеллоу мини,г
983,маскарпоне,г
984,маслины,г
985,маслины без косточек,г
986,масло авокадо,мл
987,масло виноградных косточек,мл
988,масло грецкого ореха,мл
989,масло для фритюра,мл
990,масло кедрового ореха,мл
991,маслята,г
992,мастика,г
993,мастика желатиновая,г
994,мастика шоколадная,г
995,матча,г
996,мафальдине,г
997,маца,г
998,мацони,г
999,маш,г
1000,мед,г
1001,мед акации,г
1002,мед гречишный,г
1003,мед жидкий,г
1004,мед лавандовый,г
1005,мелисса,г
1006,меренги,г
1007,мидии,г
1008,мидии в раковинах,г
1009,мидии в раковинах крупные черные,г
1010,мидии в раковинах мелкие зеленые,г
1011,мидии замороженные,г
1012,мидии копченые в масле,г
1013,микрозелень,г
1014,миндаль,г
1015,миндаль жареный,г
1016,миндаль измельченный,г
1017,миндальная масса,г
1018,миндальная мука,г
1019,миндальная паста,г
1020,миндальная эссенция,г
1021,миндальное масло,г
1022,миндальное молоко,мл
1023,миндальное печенье,г
1024,миндальное пралине,г
1025,миндальные лепестки,г
1026,миндальный ликер,мл
1027,миндальный сироп,мл
1028,миндальный экстракт,мл
1029,миндаль очищенный,г
1030,миндаль рубленый,г
1031,мини-кукуруза,г
1032,минога,г
1033,минтай,г
1034,минтай печень,г
1035,минтай филе,г
1036,мисо-паста,г
1037,мисо-суп,мл
1038,можжевельник ягоды,г
1039,мойва,г
1040,моллюски,г
1041,молоко,мл
1042,"молоко 0,5%",мл
1043,"молоко 1,5%",мл
1044,"молоко 2,5%",мл
1045,"молоко 3,2%",мл
1046,"молоко 3,6%",мл
1047,молоко 4%,мл
1048,молоко 6%,мл
1049,молоко козье,мл
1050,молоко концентрированное,мл
1051,молоко рисовое,мл
1052,молоко сгущенное,г
1053,молоко сгущенное вареное,г
1054,молоко сгущенное с какао,г
1055,молоко сухое,г
1056,молоко сухое обезжиренное,г
1057,молоко топленое,мл
1058,молочная смесь,г
1059,молочные продукты,г
1060,морепродукты,г
1061,морковное пюре,г
1062,морковь,г
1063,морковь вареная,г
1064,морковь крупная,г
1065,морковь молодая,г
1066,морковь по-корейски,г
1067,морковь тертая,г
1068,мороженое,г
1069,мороженое ванильное,г
1070,мороженое клубничное,г
1071,мороженое лимонное,г
1072,мороженое малиновое,г
1073,мороженое пломбир,г
1074,мороженое шоколадное,г
1075,морошка,г
1076,морские гребешки,г
1077,морской коктейль,г
1078,морской коктейль в масле,г
1079,морской коктейль замороженный,г
1080,морской черт,г
1081,морской язык,г
1082,морской язык филе,г
1083,мортаделла,г
1084,моцарелла,г
1085,моцарелла для запекания,г
1086,моцарелла для пиццы,г
1087,моцарелла мини,г
1088,моцарелла с травами,г
1089,моцарелла шарик большой,г
1090,мука,г
1091,мука 1 сорт,г
1092,мука 2 сорт,г
1093,мука «Аладушкин»,г
1094,мука грубого помола,г
1095,мука для темпуры,г
1096,мука из пророщенной пшеницы,г
1097,мука манитоба,г
1098,мука самоподнимающаяся,г
1099,мука с отрубями,г
1100,мука с семечками,г
1101,мука хлебопекарная,г
1102,мука цельнозерновая,г
1103,мускат белый,мл
1104,мускатное вино,мл
1105,мускатный орех,г
1106,мускатный орех молотый,г
1107,мюсли,г
1108,мягкий творог,г
1109,мясной бульон,мл
1110,мясной фарш,г
1111,мясо,г
1112,мясо дикого кабана,г
1113,мясо криля,г
1114,мясо на косточке,г
1115,мята,г
1116,мята сушеная,г
1117,мятный сироп,мл
